Rk,Name,Date,To Team,From Team,Age,WAR3,Yrs,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,W,L,ERA,WHIP,G,GS,SV,IP,H,HR,BB,SO,Name-additional
1,Damian Jackson,2004-05-31,Kansas City Royals,BOS,30,1.8,8,621,1788,270,440,22,162,117,199,.246,.325,.359,.684,,,,,,,,,,,,,jacksda04
2,Scott Elarton,2004-05-25,Cleveland Indians,COL,28,-2.5,5,130,148,10,19,0,3,0,4,.128,.178,.142,.320,36,27,5.03,1.423,135,81,3,558.0,568,89,226,415,elartsc01
3,Raul Gonzalez,2004-05-20,Cleveland Indians,NYM,30,0.1,4,161,337,41,80,5,33,7,34,.237,.307,.338,.646,,,,,,,,,,,,,gonzara01
4,Frank Menechino,2004-05-12,Toronto Blue Jays,OAK,33,3.2,5,295,840,145,196,23,110,3,138,.233,.354,.368,.722,0,0,36.00,6.000,1,0,0,1.0,6,1,0,0,menecfr01
5,Jason Tyner,2004-04-26,Atlanta Braves,TEX,27,0.6,4,245,778,89,200,0,49,47,37,.257,.294,.299,.594,,,,,,,,,,,,,tynerja01
6,Gerald Williams,2004-04-26,New York Mets,FLA,37,-1.0,12,1072,2900,448,743,80,351,102,171,.256,.302,.410,.712,,,,,,,,,,,,,willige02
7,Russell Branyan,2004-04-25,Cleveland Indians,CIN,28,1.8,6,400,1104,156,251,70,180,5,141,.227,.318,.472,.790,,,,,,,,,,,,,branyru01
8,Rick White,2004-04-25,Cleveland Indians,HOU,35,-0.7,8,228,40,1,4,0,1,0,0,.100,.122,.125,.247,28,40,4.17,1.363,390,18,12,606.0,633,61,193,400,whiteri01
9,Eric Owens,2004-04-15,Detroit Tigers,ANA,33,-0.1,9,806,2353,305,621,26,214,126,182,.264,.318,.347,.665,,,,,,,,,,,,,owenser01
10,Joe Vitiello,2004-04-14,Detroit Tigers,MON,34,0.8,7,282,693,76,172,26,104,2,80,.248,.335,.414,.749,,,,,,,,,,,,,vitiejo01
11,Mike Difelice,2004-04-13,Detroit Tigers,KCR,35,0.3,8,484,1431,137,345,28,155,3,88,.241,.290,.365,.655,,,,,,,,,,,,,difelmi01
12,Allen Levrault,2004-04-13,Seattle Mariners,FLA,26,-1.2,3,52,38,1,2,0,1,0,1,.053,.075,.053,.128,7,11,5.59,1.611,56,21,0,170.2,194,30,81,110,levraal01
13,Scott Sauerbeck,2004-04-12,Cleveland Indians,BOS,32,1.5,5,326,7,0,0,0,0,0,0,.000,.000,.000,.000,19,16,3.71,1.525,367,0,5,325.1,287,24,209,337,sauersc01
14,Gregg Zaun,2004-04-09,Toronto Blue Jays,COL,33,-0.3,9,579,1487,174,366,33,186,19,187,.246,.332,.371,.704,,,,,,,,,,,,,zaungr01
15,Tanyon Sturtze,2004-04-08,Los Angeles Dodgers,TOR,33,3.7,8,19,13,0,1,0,0,0,0,.077,.077,.077,.154,29,39,5.20,1.564,159,80,1,628.2,717,88,266,372,sturtta01
16,Kenny Kelly,2004-04-06,Cincinnati Reds,NYM,25,,1,2,1,0,0,0,0,0,0,.000,.000,.000,.000,,,,,,,,,,,,,kellyke01
17,Anthony Sanders,2004-04-06,Colorado Rockies,TOR,30,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,sandean01
18,Giovanni Carrara,2004-04-05,Chicago Cubs,SEA,36,2.3,7,122,28,2,3,0,0,0,1,.107,.138,.107,.245,17,11,5.31,1.541,174,18,1,315.1,349,62,137,209,carragi01
19,Benji Gil,2004-04-05,Chicago Cubs,CLE,31,1.4,8,604,1610,158,381,32,171,24,102,.237,.283,.358,.641,,,,,,,,,,,,,gilbe01
20,Andrew Lorraine,2004-04-05,Pittsburgh Pirates,LAD,31,-0.6,9,,,,,,,,,,,,,,,,,,,,,,,,,lorraan01
21,Mark McLemore,2004-04-05,Oakland Athletics,SEA,39,4.5,18,1755,5942,914,1540,51,594,272,834,.259,.349,.341,.690,,,,,,,,,,,,,mclemma01
22,Glendon Rusch,2004-04-05,Chicago Cubs,MIL,29,0.6,7,132,210,10,32,1,16,0,8,.152,.183,.167,.350,42,76,5.11,1.478,193,167,2,1033.2,1215,133,313,760,ruschgl01
23,Terry Shumpert,2004-04-05,Pittsburgh Pirates,TBD,37,-0.7,14,854,1969,295,497,49,223,85,166,.252,.315,.409,.724,,,,,,,,,,,,,shumpte01
24,Wilson Delgado,2004-04-04,New York Mets,ANA,31,-0.5,8,211,412,48,98,3,30,4,32,.238,.297,.291,.588,,,,,,,,,,,,,delgawi01
25,Todd Dunwoody,2004-04-03,Cleveland Indians,STL,29,-0.3,6,,,,,,,,,,,,,,,,,,,,,,,,,dunwoto01
