Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
1,Jeff Abbott,24,CHW,AL,19,38,38,8,10,1,0,1,2,0,0,0,6,.263,.263,.368,.632,66,14,3,0,0,0,0,/H79D8,abbotje01
2,Kurt Abbott,28,FLA,NL,94,273,252,35,69,18,2,6,30,3,1,14,68,.274,.315,.433,.747,98,109,5,1,6,0,3,4H7/65D,abbotku01
3,Bobby Abreu*,23,HOU,NL,59,210,188,22,47,10,2,3,26,7,2,21,48,.250,.329,.372,.701,87,70,0,1,0,0,0,9H7/8,abreubo01
4,Juan Acevedo,27,NYM,NL,22,7,6,0,0,0,0,0,0,0,0,0,5,.000,.000,.000,.000,-100,0,0,0,1,0,0,1,aceveju01
5,Terry Adams,24,CHC,NL,74,2,2,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,adamste01
6,Joel Adamson*,25,MIL,AL,4,3,3,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,adamsjo02
7,Rick Aguilera,35,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,aguilri01
8,Manny Alexander,26,TOT,NL,87,272,248,37,66,12,4,3,22,13,1,17,54,.266,.320,.383,.703,84,95,6,3,3,1,3,64/H5,alexama02
9,Manny Alexander,26,NYM,NL,54,161,149,26,37,9,3,2,15,11,0,9,38,.248,.294,.389,.683,80,58,3,1,1,1,1,46/H5,alexama02
10,Manny Alexander,26,CHC,NL,33,111,99,11,29,3,1,1,7,2,1,8,16,.293,.358,.374,.732,91,37,3,2,2,0,2,6/4H,alexama02
11,Antonio Alfonseca,25,FLA,NL,16,3,3,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,alfonan01
12,Edgardo Alfonzo,23,NYM,NL,151,599,518,84,163,27,2,10,72,11,6,63,56,.315,.391,.432,.823,119,224,4,5,8,5,0,*56/H4,alfoned01
