Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,RF/9,RF/G,Pos Summary,Name-additional
1,Jeff Abbott,24,CHW,AL,10,4,4,46.2,15,15,0,0,0,1.000,-1,-21,2.89,1.50,OF,abbotje01
2,Kurt Abbott,28,FLA,NL,75,57,40,497.0,270,126,136,8,27,.970,-3,-7,4.74,3.49,2B-SS-OF-3B,abbotku01
3,Bobby Abreu,23,HOU,NL,53,46,41,428.0,90,84,4,2,1,.978,4,10,1.85,1.66,OF,abreubo01
4,Juan Acevedo,27,NYM,NL,25,2,0,47.2,13,3,9,1,0,.923,,,2.27,0.48,P,aceveju01
5,Mark Acre,28,OAK,AL,15,0,0,15.2,2,1,1,0,0,1.000,,,1.15,0.13,P,acrema01
6,Terry Adams,24,CHC,NL,74,0,0,74.0,15,7,8,0,0,1.000,,,1.82,0.20,P,adamste01
7,Willie Adams,24,OAK,AL,13,12,0,58.1,12,2,10,0,0,1.000,,,1.85,0.92,P,adamswi02
8,Joel Adamson,25,MIL,AL,30,6,0,76.1,17,6,9,2,0,.882,,,1.77,0.50,P,adamsjo02
9,Rick Aguilera,35,MIN,AL,61,0,0,68.1,18,5,13,0,1,1.000,,,2.37,0.30,P,aguilri01
10,Jose Alberro,28,TEX,AL,10,4,0,28.1,9,3,5,1,1,.889,,,2.54,0.80,P,alberjo01
11,Scott Aldred,29,MIN,AL,17,15,0,77.1,11,2,9,0,0,1.000,,,1.28,0.65,P,aldresc01
12,Manny Alexander,26,TOT,NL,85,71,48,606.1,329,97,221,11,39,.967,2,4,4.72,3.53,SS-2B-3B,alexama02
13,Antonio Alfonseca,25,FLA,NL,17,0,0,25.2,4,1,3,0,0,1.000,,,1.40,0.24,P,alfonan01
14,Edgardo Alfonzo,23,NYM,NL,147,132,107,1181.1,400,98,290,12,32,.970,18,18,2.96,2.46,3B-SS-2B,alfoned01
15,Luis Alicea,31,ANA,AL,117,108,105,975.0,522,223,287,12,59,.977,7,8,4.71,4.36,2B-3B,alicelu01
16,Jermaine Allensworth,25,PIT,NL,104,94,88,837.2,198,189,5,4,1,.980,-18,-25,2.08,1.87,OF,allenje01
17,Carlos Almanzar,23,TOR,AL,4,0,0,3.1,0,0,0,0,0,,,,0.00,0.00,P,almanca01
18,Roberto Alomar,29,BAL,AL,109,103,82,896.2,509,203,300,6,66,.988,-2,-3,5.05,4.61,2B,alomaro01
19,Sandy Alomar,31,CLE,AL,119,115,105,1005.0,795,743,40,12,8,.985,1,1,7.01,6.58,C,alomasa02
20,Moises Alou,30,FLA,NL,150,145,114,1276.1,255,248,4,3,1,.988,-4,-3,1.78,1.68,OF,aloumo01
21,Wilson Alvarez,27,TOT,ZZ,33,33,2,212.0,33,8,23,2,0,.939,,,1.32,0.94,P,alvarwi01
22,Rich Amaral,35,SEA,AL,75,43,32,421.2,135,103,29,3,8,.978,0,-1,2.82,1.67,OF-2B-1B-SS-3B,amarari01
23,Ruben Amaro,32,PHI,NL,72,25,18,300.0,82,79,2,1,1,.988,6,22,2.43,1.11,OF-1B,amaroru02
24,Brady Anderson,33,BAL,AL,124,123,116,1096.0,282,277,2,3,0,.989,-14,-15,2.29,2.25,OF,anderbr01
25,Brian Anderson,25,CLE,AL,8,8,0,48.0,11,0,11,0,0,1.000,,,2.06,1.38,P,anderbr02
26,Garret Anderson,25,ANA,AL,148,148,132,1326.0,360,343,14,3,2,.992,17,15,2.42,2.41,OF,anderga01
27,Shane Andrews,25,MON,NL,18,18,17,153.2,57,11,40,6,6,.895,1,8,2.99,2.83,3B,andresh01
28,Luis Andujar,24,TOR,AL,17,8,0,50.0,8,1,7,0,0,1.000,,,1.44,0.47,P,andujlu01
29,Eric Anthony,29,LAD,NL,21,14,11,125.2,29,26,2,1,1,.966,-2,-17,2.01,1.33,OF,anthoer01
30,Kevin Appier,29,KCR,AL,34,34,4,235.2,42,24,17,1,3,.976,,,1.57,1.21,P,appieke01
31,Alex Arias,29,FLA,NL,48,16,14,191.0,66,26,38,2,10,.970,-3,-20,3.02,1.33,3B-SS,ariasal01
32,George Arias,25,TOT,ZZ,9,4,4,56.0,20,4,15,1,0,.950,0,6,3.05,2.11,3B,ariasge01
33,René Arocha,33,SFG,NL,6,0,0,10.1,5,1,4,0,0,1.000,,,4.35,0.83,P,arochre01
34,Andy Ashby,29,SDP,NL,30,30,2,200.2,51,16,34,1,0,.980,,,2.24,1.67,P,ashbyan01
35,Billy Ashley,26,LAD,NL,35,31,7,225.0,45,39,2,4,0,.911,-10,-52,1.64,1.17,OF,ashlebi01
