Rk,Name,Age,Tm,Lg,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
1,Andy Abad,30,BOS,AL,8,4,3,45.0,37,35,1,1,2,.973,0,11,0,0,,7.20,4.50,1B-OF,abadan01
2,Paul Abbott,35,KCR,AL,10,8,0,47.2,15,8,6,1,0,.933,,,1,4,,2.64,1.40,P,abbotpa01
3,Brent Abernathy,25,TOT,AL,11,7,7,76.1,42,13,28,1,4,.976,2,27,-2,-31,,4.83,3.73,2B,abernbr01
4,Bobby Abreu,29,PHI,NL,158,156,149,1373.1,316,304,6,6,0,.981,22,19,12,10,,2.03,1.96,OF,abreubo01
5,Jose Acevedo,25,CIN,NL,5,4,1,27.0,4,1,3,0,1,1.000,,,0,0,,1.33,0.80,P,acevejo01
6,Juan Acevedo,33,TOT,AL,39,0,0,38.1,9,6,2,1,0,.889,,,-2,-63,,1.88,0.21,P,aceveju01
7,Terry Adams,30,PHI,NL,66,0,0,68.0,20,10,9,1,1,.950,,,1,3,,2.51,0.29,P,adamste01
8,Jon Adkins,25,CHW,AL,4,0,0,9.1,3,2,1,0,0,1.000,,,-1,-21,,2.89,0.75,P,adkinjo01
9,Jeremy Affeldt,24,KCR,AL,36,18,0,126.0,24,4,19,1,2,.958,,,-2,-3,,1.64,0.64,P,affelje01
10,Kurt Ainsworth,24,TOT,ZZ,14,11,0,68.1,11,5,6,0,0,1.000,,,1,17,,1.45,0.79,P,ainswku01
11,Antonio Alfonseca,31,CHC,NL,60,0,0,66.1,11,2,8,1,0,.909,,,-4,-12,,1.36,0.17,P,alfonan01
12,Edgardo Alfonzo,29,SFG,NL,139,139,117,1192.2,348,90,247,11,20,.968,-12,-12,-8,-8,,2.54,2.42,3B-2B,alfoned01
13,Chad Allen,28,FLA,NL,8,4,3,45.0,14,13,1,0,0,1.000,4,93,4,106,,2.80,1.75,OF,allench01
14,Armando Almanza,30,FLA,NL,51,0,0,50.1,7,1,5,1,0,.857,,,-1,-4,,1.07,0.12,P,almanar01
15,Edwin Almonte,26,NYM,NL,12,0,0,11.1,3,0,3,0,0,1.000,,,-1,-18,,2.38,0.25,P,almoned01
16,Erick Almonte,25,NYY,AL,31,29,21,252.1,128,49,67,12,13,.906,-7,-35,-8,-38,,4.14,3.74,SS,almoner01
17,Hector Almonte,27,TOT,ZZ,35,0,0,36.2,5,2,3,0,0,1.000,,,-1,-32,,1.23,0.14,P,almonhe01
18,Roberto Alomar,35,TOT,ZZ,139,134,113,1141.0,608,257,342,9,87,.985,-13,-14,-14,-14,,4.72,4.31,2B,alomaro01
19,Sandy Alomar,37,CHW,AL,75,57,43,511.0,388,371,16,1,3,.997,0,0,-3,-8,,6.82,5.16,C,alomasa02
20,Moises Alou,36,CHC,NL,142,140,119,1219.0,213,203,4,6,1,.972,-7,-7,-8,-7,,1.53,1.46,OF,aloumo01
21,Juan Alvarez,29,FLA,NL,9,0,0,11.2,3,1,2,0,0,1.000,,,0,0,,2.31,0.33,P,alvarju01
22,Victor Alvarez,26,LAD,NL,5,0,0,5.2,0,0,0,0,0,,,,0,0,,0.00,0.00,P,alvarvi01
23,Wilson Alvarez,33,LAD,NL,21,12,1,95.0,20,4,16,0,2,1.000,,,3,6,,1.89,0.95,P,alvarwi01
24,Alfredo Amezaga,25,ANA,AL,35,32,28,287.1,133,51,77,5,12,.962,2,6,-1,-3,,4.01,3.46,SS-3B,amezaal01
25,Brian Anderson,31,TOT,AL,32,31,2,197.2,47,8,37,2,2,.957,,,7,42,,2.05,1.41,P,anderbr02
26,Garret Anderson,31,ANA,AL,144,144,130,1241.1,340,326,13,1,2,.997,25,24,0,0,,2.46,2.35,OF,anderga01
27,Jason Anderson,24,TOT,ZZ,28,0,0,31.1,3,1,2,0,0,1.000,,,0,0,,0.86,0.11,P,anderja01
28,Jimmy Anderson,27,CIN,NL,8,7,0,38.2,10,0,10,0,0,1.000,,,1,5,,2.33,1.25,P,anderji02
29,Marlon Anderson,29,TBD,AL,137,120,113,1087.1,563,198,350,15,91,.973,-4,-5,1,1,,4.54,4.00,2B-OF,anderma02
30,Matt Anderson,26,DET,AL,23,0,0,23.1,4,1,2,1,0,.750,,,0,0,,1.16,0.13,P,anderma01
31,Kevin Appier,35,TOT,AL,23,23,0,111.2,10,4,6,0,0,1.000,,,-2,-21,,0.81,0.43,P,appieke01
32,Tony Armas,25,MON,NL,5,5,0,31.0,4,0,4,0,0,1.000,,,1,6,,1.16,0.80,P,armasto02
33,Bronson Arroyo,26,BOS,AL,6,0,0,17.1,2,2,0,0,0,1.000,,,0,0,,1.04,0.33,P,arroybr01
34,Miguel Asencio,22,KCR,AL,8,8,1,48.1,10,2,7,1,1,.900,,,-1,-4,,1.68,1.13,P,asencmi01
35,Andy Ashby,35,LAD,NL,21,12,0,73.0,15,4,11,0,1,1.000,,,-5,-14,,1.85,0.71,P,ashbyan01
36,Pedro Astacio,34,NYM,NL,7,7,0,36.2,4,2,2,0,0,1.000,,,0,0,,0.98,0.57,P,astacpe01
37,Garrett Atkins,23,COL,NL,19,16,13,134.0,40,9,25,6,0,.850,-2,-16,-2,-16,,2.28,1.79,3B,atkinga01
38,Rich Aurilia,31,SFG,NL,123,123,106,1064.0,502,173,316,13,80,.974,-4,-5,-5,-6,,4.14,3.98,SS,aurilri01
39,Brad Ausmus,34,HOU,NL,143,129,115,1158.0,1061,982,76,3,13,.997,9,9,9,9,,8.22,7.40,C,ausmubr01
40,Jeff Austin,26,CIN,NL,7,7,0,28.1,7,2,5,0,1,1.000,,,0,0,,2.22,1.00,P,austije01
41,Steve Avery,33,DET,AL,19,0,0,16.0,7,4,3,0,1,1.000,,,0,0,,3.94,0.37,P,averyst01
42,Luis Ayala,25,MON,NL,65,0,0,71.0,28,8,19,1,0,.964,,,3,8,,3.42,0.42,P,ayalalu01
43,Manny Aybar,31,SFG,NL,3,0,0,3.0,0,0,0,0,0,,,,-1,-67,,0.00,0.00,P,aybarma01
44,Brandon Backe,25,TBD,AL,28,0,0,44.2,6,3,3,0,1,1.000,,,1,4,,1.21,0.21,P,backebr01
45,Mike Bacsik,25,NYM,NL,5,3,0,17.2,3,0,3,0,0,1.000,,,0,0,,1.53,0.60,P,bacsimi02
46,Carlos Baerga,34,ARI,NL,39,32,18,271.1,208,150,55,3,23,.986,2,8,-1,-4,,6.80,5.26,1B-2B-3B,baergca01
