Rk,Name,Age,Tm,Lg,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,Name-additional
1,Jim Abbott*,31,MIL,NL,2,8,.200,6.91,20,15,3,0,0,0,82.0,110,71,63,14,42,3,37,2,0,7,394,66,6.06,1.854,12.1,1.5,4.6,4.1,0.88,abbotji01
2,Paul Abbott,31,SEA,AL,6,2,.750,3.10,25,7,8,0,0,0,72.2,50,31,25,9,32,3,68,0,0,2,298,161,4.19,1.128,6.2,1.1,4.0,8.4,2.13,abbotpa01
3,Juan Acevedo,29,STL,NL,6,8,.429,5.89,50,12,21,0,0,4,102.1,115,71,67,17,48,3,52,4,0,5,457,79,5.80,1.593,10.1,1.5,4.2,4.6,1.08,aceveju01
4,Terry Adams,26,CHC,NL,6,3,.667,4.02,52,0,38,0,0,13,65.0,60,33,29,9,28,2,57,0,0,6,277,112,4.47,1.354,8.3,1.2,3.9,7.9,2.04,adamste01
5,Rick Aguilera,37,TOT,MLB,9,4,.692,2.93,61,0,41,0,0,14,67.2,54,25,22,8,12,1,45,2,1,4,267,161,3.96,0.975,7.2,1.1,1.6,6.0,3.75,aguilri01
6,Rick Aguilera,37,MIN,AL,3,1,.750,1.27,17,0,16,0,0,6,21.1,10,3,3,2,2,0,13,0,1,1,76,406,3.42,0.563,4.2,0.8,0.8,5.5,6.50,aguilri01
7,Rick Aguilera,37,CHC,NL,6,3,.667,3.69,44,0,25,0,0,8,46.1,44,22,19,6,10,1,32,2,0,3,191,122,4.21,1.165,8.5,1.2,1.9,6.2,3.20,aguilri01
8,Scott Aldred*,31,TOT,MLB,4,3,.571,4.45,66,0,14,0,0,1,56.2,59,30,28,2,29,3,41,2,0,4,254,110,3.79,1.553,9.4,0.3,4.6,6.5,1.41,aldresc01
9,Scott Aldred*,31,TBD,AL,3,2,.600,5.18,37,0,9,0,0,0,24.1,26,15,14,1,14,0,22,2,0,1,114,96,3.83,1.644,9.6,0.4,5.2,8.1,1.57,aldresc01
10,Scott Aldred*,31,PHI,NL,1,1,.500,3.90,29,0,5,0,0,1,32.1,33,15,14,1,15,3,19,0,0,3,140,124,3.75,1.485,9.2,0.3,4.2,5.3,1.27,aldresc01
11,Antonio Alfonseca,27,FLA,NL,4,5,.444,3.24,73,0,49,0,0,21,77.2,79,28,28,4,29,6,46,4,0,1,325,133,3.89,1.391,9.2,0.5,3.4,5.3,1.59,alfonan01
12,Armando Almanza*,26,FLA,NL,0,1,.000,1.72,14,0,2,0,0,0,15.2,8,4,3,1,9,1,20,1,1,0,64,255,3.33,1.085,4.6,0.6,5.2,11.5,2.22,almanar01
13,Carlos Almanzar,25,SDP,NL,0,0,,7.47,28,0,11,0,0,0,37.1,48,32,31,6,15,2,30,3,0,2,173,57,5.06,1.688,11.6,1.4,3.6,7.2,2.00,almanca01
14,Hector Almonte,23,FLA,NL,0,2,.000,4.20,15,0,6,0,0,0,15.0,20,7,7,1,6,2,8,0,0,2,67,105,4.13,1.733,12.0,0.6,3.6,4.8,1.33,almonhe01
15,Juan Alvarez*,25,ANA,AL,0,1,.000,3.00,8,0,1,0,0,0,3.0,1,1,1,0,4,0,4,0,0,1,14,178,4.47,1.667,3.0,0.0,12.0,12.0,1.00,alvarju01
16,Wilson Alvarez*,29,TBD,AL,9,9,.500,4.22,28,28,0,1,0,0,160.0,159,92,75,22,79,1,128,6,0,3,703,117,4.92,1.488,8.9,1.2,4.4,7.2,1.62,alvarwi01
17,Brian Anderson*,27,ARI,NL,8,2,.800,4.57,31,19,4,2,1,1,130.0,144,69,66,18,28,3,75,1,2,0,549,100,4.45,1.323,10.0,1.2,1.9,5.2,2.68,anderbr02
18,Jimmy Anderson*,23,PIT,NL,2,1,.667,3.99,13,4,2,0,0,0,29.1,25,15,13,2,16,2,13,1,0,4,127,117,4.87,1.398,7.7,0.6,4.9,4.0,0.81,anderji02
19,Matt Anderson,22,DET,AL,2,1,.667,5.68,37,0,9,0,0,0,38.0,33,27,24,8,35,1,32,1,0,3,180,86,7.03,1.789,7.8,1.9,8.3,7.6,0.91,anderma01
20,Rick Ankiel*,19,STL,NL,0,1,.000,3.27,9,5,1,0,0,1,33.0,26,12,12,2,14,0,39,1,0,2,137,142,2.92,1.212,7.1,0.5,3.8,10.6,2.79,ankieri01
21,Kevin Appier,31,TOT,AL,16,14,.533,5.17,34,34,0,1,0,0,209.0,230,131,120,27,84,4,131,7,1,10,926,94,4.87,1.502,9.9,1.2,3.6,5.6,1.56,appieke01
22,Kevin Appier,31,KCR,AL,9,9,.500,4.87,22,22,0,1,0,0,140.1,153,81,76,18,51,3,78,6,0,5,613,102,4.91,1.454,9.8,1.2,3.3,5.0,1.53,appieke01
23,Kevin Appier,31,OAK,AL,7,5,.583,5.77,12,12,0,0,0,0,68.2,77,50,44,9,33,1,53,1,1,5,313,80,4.78,1.602,10.1,1.2,4.3,6.9,1.61,appieke01
24,Tony Armas,21,MON,NL,0,1,.000,1.50,1,1,0,0,0,0,6.0,8,4,1,0,2,1,2,0,0,2,28,315,3.47,1.667,12.0,0.0,3.0,3.0,1.00,armasto02
