Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Anaheim Angels,43,29.1,4.54,162,6119,5487,736,1473,276,33,150,687,129,61,476,838,.268,.330,.413,.743,97,2265,125,56,50,50,42,1086
Arizona Diamondbacks,43,30.5,4.43,162,6261,5570,717,1467,303,47,152,696,76,38,531,1006,.263,.330,.417,.746,87,2320,126,45,63,52,63,1185
Atlanta Braves,34,30.3,5.60,162,6378,5670,907,1608,321,31,235,872,68,22,545,933,.284,.349,.475,.824,112,2696,124,49,65,49,46,1170
Baltimore Orioles,42,29.3,4.56,163,6241,5665,743,1516,277,24,152,695,89,36,431,902,.268,.323,.405,.729,92,2297,123,54,51,40,32,1121
Boston Red Sox,47,29.7,5.93,162,6530,5769,961,1667,371,40,238,932,88,35,620,943,.289,.360,.491,.851,118,2832,126,53,24,64,61,1224
Chicago Cubs,42,31.3,4.47,162,6187,5519,724,1431,302,24,172,691,73,31,492,1158,.259,.323,.416,.739,91,2297,135,50,80,46,40,1114
Chicago White Sox,40,29.3,4.88,162,6148,5487,791,1445,303,19,220,766,77,29,519,916,.263,.331,.446,.777,102,2446,132,58,43,41,27,1074
Cincinnati Reds,57,27.3,4.28,162,6211,5509,694,1349,239,21,182,669,80,34,524,1326,.245,.318,.395,.713,89,2176,102,79,66,32,34,1134
Cleveland Indians,54,27.0,4.31,162,6188,5572,699,1413,296,26,158,660,86,61,466,1062,.254,.316,.401,.717,92,2235,128,62,46,41,25,1068
Colorado Rockies,50,29.4,5.27,162,6283,5518,853,1472,330,31,198,814,63,37,619,1134,.267,.344,.445,.790,93,2458,140,52,55,38,46,1156
Detroit Tigers,43,27.3,3.65,162,6071,5466,591,1312,201,39,153,553,98,63,443,1099,.240,.300,.375,.675,83,2050,114,47,65,49,24,1047
Florida Marlins,40,27.7,4.64,162,6186,5490,751,1459,292,44,157,709,150,74,515,978,.266,.333,.421,.754,97,2310,114,57,82,41,44,1114
Houston Astros,44,31.1,4.97,162,6320,5583,805,1466,308,30,191,763,66,30,557,1021,.263,.336,.431,.767,96,2407,125,81,61,38,44,1185
Kansas City Royals,53,29.2,5.16,162,6239,5568,836,1526,288,39,162,781,120,42,476,926,.274,.336,.427,.763,95,2378,128,75,63,57,32,1096
Los Angeles Dodgers,44,29.8,3.54,162,6036,5458,574,1328,260,25,124,544,80,36,407,985,.243,.303,.368,.671,79,2010,121,72,71,28,43,1108
Milwaukee Brewers,42,29.7,4.41,162,6270,5548,714,1423,266,24,196,685,99,39,547,1221,.256,.329,.419,.748,96,2325,158,71,62,40,41,1155
Minnesota Twins,42,27.2,4.94,162,6324,5655,801,1567,318,45,155,755,94,44,512,1027,.277,.341,.431,.772,102,2440,139,63,42,52,36,1166
Montreal Expos,43,27.7,4.39,162,6116,5437,711,1404,294,25,144,682,100,39,522,990,.258,.326,.401,.727,85,2180,143,45,72,40,58,1102
New York Mets,50,29.3,3.99,161,6007,5341,642,1317,262,24,124,607,70,31,489,1035,.247,.314,.374,.688,81,1999,136,54,78,45,42,1086
New York Yankees,49,30.4,5.38,163,6431,5605,877,1518,304,14,230,845,98,33,684,1042,.271,.356,.453,.810,114,2540,154,81,25,35,54,1239
Oakland Athletics,41,28.3,4.74,162,6189,5497,768,1398,317,24,176,742,48,14,556,898,.254,.327,.417,.743,96,2291,118,59,22,53,52,1130
Philadelphia Phillies,38,28.3,4.88,162,6333,5543,791,1448,325,27,166,757,72,29,651,1155,.261,.343,.419,.762,104,2325,120,55,46,38,56,1220
Pittsburgh Pirates,46,29.7,4.65,162,6315,5581,753,1492,275,45,163,711,86,37,529,1049,.267,.338,.420,.758,95,2346,112,87,79,38,42,1214
San Diego Padres,51,28.5,4.19,162,6246,5531,678,1442,257,32,128,641,76,39,565,1073,.261,.333,.388,.721,96,2147,142,57,50,42,34,1219
Seattle Mariners,37,32.0,4.91,162,6281,5561,795,1509,290,33,139,759,108,37,586,989,.271,.344,.410,.754,103,2282,130,53,35,46,34,1202
San Francisco Giants,46,32.1,4.69,161,6204,5456,755,1440,281,29,180,713,53,37,593,980,.264,.338,.425,.763,99,2319,130,40,76,39,79,1188
St. Louis Cardinals,42,29.9,5.41,162,6466,5672,876,1580,342,32,196,827,82,32,580,952,.279,.350,.454,.804,111,2574,136,73,87,54,68,1217
Tampa Bay Devil Rays,51,26.3,4.41,162,6212,5654,715,1501,298,38,137,678,142,42,420,1030,.265,.320,.404,.724,94,2286,108,56,32,50,46,1129
Texas Rangers,52,28.4,5.10,162,6293,5664,826,1506,274,36,239,799,65,25,488,1052,.266,.330,.454,.784,96,2569,115,75,24,42,31,1141
Toronto Blue Jays,40,28.3,5.52,162,6364,5661,894,1580,357,33,190,853,37,25,546,1081,.279,.349,.455,.803,107,2573,146,90,11,56,40,1175
League Average,41,29.2,4.73,162,6248,5558,766,1469,294,31,174,730,86,38,530,1027,.264,.333,.422,.755,97,2346,128,62,54,45,44,1149
