Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr
Anaheim Angels,45,4.83,.686,162,1458,1100,12996.0,6084,4332,1646,106,146,.983,-65,-6
Arizona Diamondbacks,45,5.01,.704,162,1458,1099,12891.0,6118,4297,1721,100,125,.984,18,2
Atlanta Braves,42,3.59,.700,162,1458,1106,12948.0,6088,4316,1681,91,139,.985,84,8
Baltimore Orioles,47,4.85,.685,162,1458,1095,12882.0,6135,4294,1760,81,144,.987,-10,-1
Boston Red Sox,47,4.50,.703,162,1458,1136,12924.0,6038,4308,1625,105,128,.983,62,6
Chicago Cubs,47,4.86,.683,163,1467,1016,13296.0,6155,4432,1622,101,107,.984,-16,-1
Chicago White Sox,39,5.71,.686,163,1467,1153,12948.0,6162,4316,1706,140,161,.977,5,0
Cincinnati Reds,47,4.69,.697,162,1458,1013,12972.0,6009,4324,1563,122,142,.980,13,1
Cleveland Indians,46,4.81,.682,162,1458,1146,13140.0,6217,4380,1727,110,146,.982,37,3
Colorado Rockies,42,5.28,.675,162,1458,1066,12894.0,6195,4298,1795,102,193,.984,14,1
Detroit Tigers,45,5.33,.685,162,1458,1153,13017.0,6266,4339,1812,115,164,.982,57,5
Florida Marlins,49,5.70,.669,162,1458,1141,13047.0,6216,4349,1738,129,177,.979,-12,-1
Houston Astros,37,3.83,.689,162,1458,1123,13242.0,6304,4414,1782,108,144,.983,0,0
Kansas City Royals,50,5.58,.676,161,1449,1100,12927.0,6123,4309,1689,125,172,.980,-10,-1
Los Angeles Dodgers,52,4.19,.695,162,1458,1053,13026.0,6207,4342,1731,134,154,.978,-20,-2
Milwaukee Brewers,43,5.01,.681,162,1458,1018,13059.0,6224,4353,1761,110,192,.982,25,2
Minnesota Twins,38,5.05,.678,162,1458,1129,13029.0,6036,4343,1585,108,135,.982,-107,-10
Montreal Expos,41,4.83,.687,162,1458,1035,12843.0,6124,4281,1688,155,127,.975,34,3
New York Mets,49,3.98,.699,162,1458,1015,13122.0,6147,4374,1672,101,151,.984,8,1
New York Yankees,37,4.05,.708,162,1458,1172,13110.0,6110,4370,1642,98,146,.984,28,3
Oakland Athletics,44,5.35,.682,162,1458,1062,12906.0,6097,4302,1654,141,155,.977,-66,-6
Philadelphia Phillies,40,4.99,.689,162,1458,1171,13167.0,6246,4389,1747,110,131,.982,38,3
Pittsburgh Pirates,38,4.40,.686,163,1467,1145,13041.0,6185,4347,1698,140,161,.977,-14,-1
San Diego Padres,42,3.92,.691,162,1458,1029,13091.2,6195,4364,1727,104,155,.983,-52,-5
Seattle Mariners,47,5.31,.673,161,1449,1091,12819.0,5970,4273,1572,125,139,.979,-14,-1
San Francisco Giants,40,4.53,.699,163,1467,1041,13293.0,6338,4431,1806,101,157,.984,13,1
St. Louis Cardinals,45,4.80,.687,163,1467,1040,13227.0,6332,4409,1781,142,160,.978,7,1
Tampa Bay Devil Rays,42,4.64,.699,162,1458,1147,12987.0,6188,4329,1765,94,178,.985,91,8
Texas Rangers,40,5.38,.668,162,1458,1153,12882.0,5995,4294,1580,121,140,.980,19,2
Toronto Blue Jays,41,4.71,.692,163,1467,1145,13185.0,6052,4395,1532,125,131,.979,1,0
League Average,39,4.79,.688,162,1459,1096,13030,6152,4343,1694,115,150,.981,6,0
