Tm,#Fld,RA/G,DefEff▼,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Los Angeles Dodgers,43,4.22,.711,162,1458,1112,13080.0,6099,4360,1666,73,145,.988,70,6,,1,4
St. Louis Cardinals,37,4.07,.710,162,1458,1037,13083.0,6292,4361,1834,97,154,.985,72,7,,5,3
Philadelphia Phillies,39,4.82,.702,162,1458,1157,13164.0,6098,4388,1629,81,142,.987,39,4,,0,8
Florida Marlins,45,4.32,.699,162,1458,1153,12951.0,6006,4317,1603,86,153,.986,13,1,,1,9
Seattle Mariners,48,5.08,.699,162,1458,1143,13134.0,5954,4378,1473,103,140,.983,19,2,,0,7
Tampa Bay Devil Rays,47,5.23,.699,161,1449,1163,12753.0,5900,4251,1530,119,139,.980,38,4,,0,-11
Oakland Athletics,36,4.58,.698,162,1458,1161,13242.0,6314,4414,1809,91,172,.986,19,2,,0,-2
Chicago Cubs,43,4.10,.697,162,1458,1123,13188.0,6061,4396,1579,86,126,.986,-2,0,,-2,-6
New York Mets,52,4.51,.696,162,1458,1040,13041.0,6229,4347,1745,137,144,.978,-23,-2,,0,-3
Montreal Expos,46,4.75,.694,162,1458,1122,13023.0,6139,4341,1699,99,172,.984,39,4,,1,5
San Francisco Giants,42,4.75,.694,162,1458,1064,13113.0,6209,4371,1737,101,153,.984,20,2,,-1,-7
Boston Red Sox,49,4.74,.693,162,1458,982,13062.0,6122,4354,1650,118,129,.981,-2,0,,0,-6
Chicago White Sox,42,5.13,.693,162,1458,1137,12891.0,6064,4297,1667,100,167,.984,-4,0,,1,3
Milwaukee Brewers,40,4.70,.693,161,1449,1168,12978.0,6037,4326,1594,117,132,.981,3,0,,0,-14
San Diego Padres,46,4.35,.693,162,1458,1099,12969.0,6033,4323,1602,108,146,.982,-17,-2,,0,1
Toronto Blue Jays,47,5.11,.691,161,1449,1184,12789.0,5985,4263,1631,91,150,.985,-20,-2,,4,-2
League Average,41,4.81,.691,162,1457,1113,13018,6104,4339,1659,106,150,.983,1,0,,0,-0
Anaheim Angels,38,4.53,.688,162,1458,1062,13089.0,5964,4363,1511,90,126,.985,-10,-1,,-1,5
Atlanta Braves,39,4.12,.688,162,1458,1095,13050.0,6257,4350,1791,116,171,.981,49,4,,1,2
Cincinnati Reds,44,5.60,.688,162,1458,1063,12993.0,6085,4331,1641,113,123,.981,-13,-1,,0,3
Baltimore Orioles,46,5.12,.686,162,1458,1150,13098.0,6159,4366,1683,110,161,.982,-13,-1,,-1,-9
Texas Rangers,52,4.90,.686,162,1458,1151,12957.0,6040,4319,1604,117,152,.981,-23,-2,,-2,1
Houston Astros,42,4.31,.685,162,1458,1064,12987.0,6050,4329,1620,101,136,.983,8,1,,2,7
New York Yankees,43,4.99,.685,162,1458,1119,12993.0,6001,4331,1571,99,148,.984,-54,-5,,-1,-6
Cleveland Indians,51,5.29,.684,162,1458,1160,13200.0,6182,4400,1676,106,152,.983,-20,-2,,0,7
Minnesota Twins,42,4.41,.684,162,1458,1120,13284.0,6187,4428,1658,101,158,.984,-33,-3,,0,8
Pittsburgh Pirates,43,4.62,.684,161,1449,1042,12852.0,6080,4284,1693,103,189,.983,-17,-2,,-1,3
Arizona Diamondbacks,52,5.55,.682,162,1458,1147,12924.0,6163,4308,1716,139,144,.977,-7,-1,,-1,-7
Detroit Tigers,39,5.21,.681,162,1458,1125,12957.0,6175,4319,1712,144,160,.977,-19,-2,,-1,-11
Colorado Rockies,47,5.70,.677,162,1458,1081,12918.0,6218,4306,1823,89,161,.986,-34,-3,,-2,2
Kansas City Royals,58,5.59,.674,162,1458,1180,12783.0,6027,4261,1635,131,169,.978,-52,-5,,0,-3
