Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,41,4.36,.685,162,1458,1141,12912.0,5982,4304,1565,113,137,.981,-24,-2,,0,-14
Atlanta Braves,48,4.80,.692,162,1458,1147,12966.0,6220,4322,1791,107,149,.983,-5,0,,0,-1
Baltimore Orioles,46,5.40,.687,161,1449,1112,12798.0,6027,4266,1661,100,163,.983,-4,0,,0,4
Boston Red Sox,46,4.28,.698,162,1458,1092,13017.0,6021,4339,1597,85,149,.986,20,2,,0,4
Chicago Cubs,42,4.17,.703,161,1449,1046,13056.0,5896,4352,1445,99,118,.983,0,0,,0,-9
Chicago White Sox,38,4.47,.686,163,1467,1110,13119.0,6211,4373,1730,108,155,.983,-41,-4,,-3,1
Cincinnati Reds,47,4.94,.671,162,1458,1063,12981.0,6008,4327,1567,114,156,.981,-40,-4,,0,3
Cleveland Indians,48,4.70,.685,162,1458,1156,12933.0,6094,4311,1689,94,182,.985,13,1,,2,2
Colorado Rockies,49,5.07,.677,162,1458,1123,13014.0,6250,4338,1816,96,176,.985,-36,-3,,0,-2
Detroit Tigers,46,5.29,.683,162,1458,1081,13005.0,6082,4335,1634,113,172,.981,-18,-2,,0,-9
Florida Marlins,44,4.76,.692,161,1449,1039,12918.0,5924,4306,1501,117,122,.980,-6,-1,,0,3
Houston Astros,40,4.61,.697,161,1449,1111,12828.0,5939,4276,1596,67,142,.989,11,1,,0,0
Kansas City Royals,43,4.82,.688,162,1458,1076,13011.0,5981,4337,1548,96,159,.984,7,1,,-6,-6
Los Angeles Angels of Anaheim,41,4.30,.691,162,1458,1119,13062.0,6091,4354,1646,91,159,.985,23,2,,0,19
Los Angeles Dodgers,46,4.00,.690,162,1458,1027,13026.0,6238,4342,1795,101,138,.984,26,2,,-1,1
Milwaukee Brewers,42,4.25,.700,162,1458,1211,13101.0,6166,4367,1698,101,160,.984,21,2,,4,0
Minnesota Twins,39,4.57,.684,163,1467,1185,13131.0,6167,4377,1682,108,168,.982,-23,-2,,0,-4
New York Mets,49,4.41,.699,162,1458,1129,13179.0,6028,4393,1552,83,126,.986,9,1,,3,2
New York Yankees,51,4.49,.682,162,1458,1095,12975.0,5994,4325,1586,83,141,.986,6,1,,-1,10
Oakland Athletics,49,4.29,.699,161,1449,1059,12915.0,5976,4305,1573,98,169,.984,20,2,,5,3
Philadelphia Phillies,38,4.20,.695,162,1458,1055,13047.0,6137,4349,1698,90,142,.985,39,4,,1,3
Pittsburgh Pirates,47,5.46,.675,162,1458,1167,13095.0,6302,4365,1830,107,179,.983,-22,-2,,0,8
San Diego Padres,59,4.72,.694,162,1458,1155,13125.0,6086,4375,1626,85,149,.986,-21,-2,,0,-1
Seattle Mariners,44,5.01,.679,162,1458,1158,12918.0,6059,4306,1654,99,160,.984,-17,-2,,0,9
San Francisco Giants,47,4.69,.685,162,1458,1034,12978.0,5815,4326,1393,96,129,.983,5,0,,-3,-9
St. Louis Cardinals,43,4.48,.694,162,1458,979,13086.0,6264,4362,1817,85,156,.986,44,4,,6,1
Tampa Bay Rays,45,4.14,.708,162,1458,1141,13119.0,5958,4373,1495,90,153,.985,24,2,,1,-3
Texas Rangers,54,5.97,.666,162,1458,1115,12978.0,6134,4326,1676,132,191,.978,-25,-2,,-5,-8
Toronto Blue Jays,40,3.77,.703,162,1458,1154,13020.0,6123,4340,1699,84,137,.986,17,2,,1,2
Washington Nationals,50,5.12,.686,161,1449,1106,12906.0,6003,4302,1578,123,143,.980,-28,-3,,0,-18
League Average,42,4.65,.689,162,1457,1106,13007,6073,4336,1638,99,153,.984,-1,0,,0,-0
